Sim, Time step, Color, X, Y, Reward, Move, Color, X, Y, Reward, Move, Color, X, Y, Reward, Move, Color, X, Y, Reward, Move, Color, X, Y, Reward, Move, Color, X, Y, Reward, Move, 
1, 1, green, 1, 1, 0, Go, red, 2, 1, 0, Go, white, 1, 2, 0, Go, white, 2, 2, 0, Go, white, 1, 4, 0, Go, white, 2, 4, 0, Go, , 
1, 2, green, 1, 2, 0, Go, red, 2, 2, 0, Go, white, 1, 3, 0, Go, white, 2, 3, 0, Go, white, 1, 5, 0, Go, white, 2, 5, 0, Go, , 
1, 3, green, 1, 3, 0, Go, red, 2, 3, 0, Go, white, 1, 4, 0, Go, white, 2, 4, 0, Go, white, 1, 6, 0, Go, white, 2, 6, 0, Go, , 
1, 4, green, 1, 4, 0, Go, red, 2, 4, 0, Go, white, 1, 5, 0, Go, white, 2, 5, 0, Go, white, 1, 7, 0, Go, white, 2, 7, 0, Go, , 
1, 5, green, 1, 5, 0, Go, red, 2, 5, 0, Go, white, 1, 6, 0, Go, white, 2, 6, 0, Go, white, 1, 8, 0, Go, white, 2, 8, 0, Go, , 
1, 6, green, 1, 6, 0, Go, red, 2, 6, 0, Go, white, 1, 7, 0, Go, white, 2, 7, 0, Go, white, 1, 9, 0, Exited, white, 2, 9, 0, Exited, , 
1, 7, green, 1, 7, 0, Go, red, 2, 7, 0, Go, white, 1, 8, 0, Go, white, 2, 8, 0, Go, ,,,,, ,,,,, , 
1, 8, green, 1, 8, 0, Go, red, 2, 8, 0, Go, white, 1, 9, 0, Exited, white, 2, 9, 0, Exited, ,,,,, ,,,,, , 
1, 9, green, 1, 9, -2, Exited, red, 2, 9, -2, Exited, ,,,,, ,,,,, ,,,,, ,,,,, , 


2, 1, green, 1, 1, 0, Go, red, 2, 1, 0, Go, white, 1, 2, 0, Go, white, 2, 2, 0, Go, white, 1, 4, 0, Go, white, 2, 4, 0, Go, , 
2, 2, green, 1, 2, 0, Go, red, 2, 2, 0, Go, white, 1, 3, 0, Go, white, 2, 3, 0, Go, white, 1, 5, 0, Go, white, 2, 5, 0, Go, , 
2, 3, green, 1, 3, 0, Go, red, 2, 3, 0, Go, white, 1, 4, 0, Go, white, 2, 4, 0, Go, white, 1, 6, 0, Go, white, 2, 6, 0, Go, , 
2, 4, green, 1, 4, 0, Go, red, 2, 4, 0, Go, white, 1, 5, 0, Go, white, 2, 5, 0, Go, white, 1, 7, 0, Go, white, 2, 7, 0, Go, , 
2, 5, green, 1, 5, 0, Go, red, 2, 5, 0, Go, white, 1, 6, 0, Go, white, 2, 6, 0, Go, white, 1, 8, 0, Go, white, 2, 8, 0, Go, , 
2, 6, green, 1, 6, 0, Go, red, 2, 6, 0, Go, white, 1, 7, 0, Go, white, 2, 7, 0, Go, white, 1, 9, 0, Exited, white, 2, 9, 0, Exited, , 
2, 7, green, 1, 7, 0, Go, red, 2, 7, 0, Go, white, 1, 8, 0, Go, white, 2, 8, 0, Go, ,,,,, ,,,,, , 
2, 8, green, 1, 8, 0, Go, red, 2, 8, 0, Go, white, 1, 9, 0, Exited, white, 2, 9, 0, Exited, ,,,,, ,,,,, , 
2, 9, green, 1, 9, -2, Exited, red, 2, 9, -2, Exited, ,,,,, ,,,,, ,,,,, ,,,,, , 


3, 1, green, 1, 1, 0, Go, red, 2, 1, 0, Go, white, 1, 2, 0, Go, white, 2, 2, 0, Go, white, 1, 4, 0, Go, white, 2, 4, 0, Go, , 
3, 2, green, 1, 2, 0, Go, red, 2, 2, 0, Go, white, 1, 3, 0, Go, white, 2, 3, 0, Go, white, 1, 5, 0, Go, white, 2, 5, 0, Go, , 
3, 3, green, 1, 3, 0, Go, red, 2, 3, 0, Go, white, 1, 4, 0, Go, white, 2, 4, 0, Go, white, 1, 6, 0, Go, white, 2, 6, 0, Go, , 
3, 4, green, 1, 4, 0, Lane, red, 2, 4, 0, Go, white, 1, 5, 0, Go, white, 2, 5, 0, Go, white, 1, 7, 0, Go, white, 2, 7, 0, Go, , 
3, 5, green, 2, 4, -3, Go, red, 2, 5, 0, Go, white, 1, 6, 0, Go, white, 2, 6, 0, Go, white, 1, 8, 0, Go, white, 2, 8, 0, Go, , 
3, 6, green, 2, 5, -3, Go, red, 2, 6, 0, Lane, white, 1, 7, 0, Go, white, 2, 7, 0, Go, white, 1, 9, 0, Exited, white, 2, 9, 0, Exited, , 
3, 7, green, 2, 6, -3, Go, red, 1, 7, -3, Go, white, 1, 8, 0, Go, white, 2, 8, 0, Go, ,,,,, ,,,,, , 
3, 8, green, 2, 7, -3, Go, red, 1, 8, -3, Go, white, 1, 9, 0, Exited, white, 2, 9, 0, Exited, ,,,,, ,,,,, , 
3, 9, green, 2, 8, -5, Go, red, 1, 9, -5, Exited, ,,,,, ,,,,, ,,,,, ,,,,, , 
3, 10, green, 2, 9, -7, Exited, ,,,,, ,,,,, ,,,,, ,,,,, ,,,,, , 


4, 1, green, 1, 1, 0, Go, red, 2, 1, 0, Go, white, 1, 2, 0, Go, white, 2, 2, 0, Go, white, 1, 4, 0, Go, white, 2, 4, 0, Go, , 
4, 2, green, 1, 2, 0, Go, red, 2, 2, 0, Go, white, 1, 3, 0, Go, white, 2, 3, 0, Go, white, 1, 5, 0, Go, white, 2, 5, 0, Go, , 
4, 3, green, 1, 3, 0, Go, red, 2, 3, 0, Go, white, 1, 4, 0, Go, white, 2, 4, 0, Go, white, 1, 6, 0, Go, white, 2, 6, 0, Go, , 
4, 4, green, 1, 4, 0, Go, red, 2, 4, 0, Go, white, 1, 5, 0, Go, white, 2, 5, 0, Go, white, 1, 7, 0, Go, white, 2, 7, 0, Go, , 
4, 5, green, 1, 5, 0, Go, red, 2, 5, 0, Go, white, 1, 6, 0, Go, white, 2, 6, 0, Go, white, 1, 8, 0, Go, white, 2, 8, 0, Go, , 
4, 6, green, 1, 6, 0, Lane, red, 2, 6, 0, Go, white, 1, 7, 0, Go, white, 2, 7, 0, Go, white, 1, 9, 0, Exited, white, 2, 9, 0, Exited, , 
4, 7, green, 2, 6, -3, Go, red, 2, 7, 0, Go, white, 1, 8, -2, Go, white, 2, 8, 0, Go, ,,,,, ,,,,, , 
4, 8, green, 2, 7, -3, Go, red, 2, 8, 0, Go, white, 1, 9, -4, Exited, white, 2, 9, 0, Exited, ,,,,, ,,,,, , 
4, 9, green, 2, 8, -3, Go, red, 2, 9, 0, Exited, ,,,,, ,,,,, ,,,,, ,,,,, , 
4, 10, green, 2, 9, -5, Exited, ,,,,, ,,,,, ,,,,, ,,,,, ,,,,, , 


5, 1, green, 1, 1, 0, Go, red, 2, 1, 0, Go, white, 1, 2, 0, Go, white, 2, 2, 0, Go, white, 1, 4, 0, Go, white, 2, 4, 0, Go, , 
5, 2, green, 1, 2, 0, Go, red, 2, 2, 0, Go, white, 1, 3, 0, Go, white, 2, 3, 0, Go, white, 1, 5, 0, Go, white, 2, 5, 0, Go, , 
5, 3, green, 1, 3, 0, Go, red, 2, 3, 0, Go, white, 1, 4, 0, Go, white, 2, 4, 0, Go, white, 1, 6, 0, Go, white, 2, 6, 0, Go, , 
5, 4, green, 1, 4, 0, Go, red, 2, 4, 0, Go, white, 1, 5, 0, Go, white, 2, 5, 0, Go, white, 1, 7, 0, Go, white, 2, 7, 0, Go, , 
5, 5, green, 1, 5, 0, Go, red, 2, 5, 0, Go, white, 1, 6, 0, Go, white, 2, 6, 0, Go, white, 1, 8, 0, Go, white, 2, 8, 0, Go, , 
5, 6, green, 1, 6, 0, Go, red, 2, 6, 0, Go, white, 1, 7, 0, Go, white, 2, 7, 0, Go, white, 1, 9, 0, Exited, white, 2, 9, 0, Exited, , 
5, 7, green, 1, 7, 0, Go, red, 2, 7, 0, Go, white, 1, 8, 0, Go, white, 2, 8, 0, Go, ,,,,, ,,,,, , 
5, 8, green, 1, 8, 0, Go, red, 2, 8, 0, Go, white, 1, 9, 0, Exited, white, 2, 9, 0, Exited, ,,,,, ,,,,, , 
5, 9, green, 1, 9, -2, Exited, red, 2, 9, -2, Exited, ,,,,, ,,,,, ,,,,, ,,,,, , 


6, 1, green, 1, 1, 0, Go, red, 2, 1, 0, Go, white, 1, 2, 0, Go, white, 2, 2, 0, Go, white, 1, 4, 0, Go, white, 2, 4, 0, Go, , 
6, 2, green, 1, 2, 0, Go, red, 2, 2, 0, Go, white, 1, 3, 0, Go, white, 2, 3, 0, Go, white, 1, 5, 0, Go, white, 2, 5, 0, Go, , 
6, 3, green, 1, 3, 0, Lane, red, 2, 3, 0, Go, white, 1, 4, 0, Go, white, 2, 4, 0, Go, white, 1, 6, 0, Go, white, 2, 6, 0, Go, , 
6, 4, green, 2, 3, -3, Go, red, 2, 4, 0, Go, white, 1, 5, 0, Go, white, 2, 5, 0, Go, white, 1, 7, 0, Go, white, 2, 7, 0, Go, , 
6, 5, green, 2, 4, -3, Go, red, 2, 5, 0, Go, white, 1, 6, 0, Go, white, 2, 6, 0, Go, white, 1, 8, 0, Go, white, 2, 8, 0, Go, , 
6, 6, green, 2, 5, -3, Go, red, 2, 6, 0, Lane, white, 1, 7, 0, Go, white, 2, 7, 0, Go, white, 1, 9, 0, Exited, white, 2, 9, 0, Exited, , 
6, 7, green, 2, 6, -3, Go, red, 1, 6, -3, Go, white, 1, 8, 0, Go, white, 2, 8, 0, Go, ,,,,, ,,,,, , 
6, 8, green, 2, 7, -3, Go, red, 1, 7, -3, Go, white, 1, 9, 0, Exited, white, 2, 9, 0, Exited, ,,,,, ,,,,, , 
6, 9, green, 2, 8, -5, Go, red, 1, 8, -5, Go, ,,,,, ,,,,, ,,,,, ,,,,, , 
6, 10, green, 2, 9, -7, Exited, red, 1, 9, -7, Exited, ,,,,, ,,,,, ,,,,, ,,,,, , 


7, 1, green, 1, 1, 0, Go, red, 2, 1, 0, Go, white, 1, 2, 0, Go, white, 2, 2, 0, Go, white, 1, 4, 0, Go, white, 2, 4, 0, Go, , 
7, 2, green, 1, 2, 0, Go, red, 2, 2, 0, Go, white, 1, 3, 0, Go, white, 2, 3, 0, Go, white, 1, 5, 0, Go, white, 2, 5, 0, Go, , 
7, 3, green, 1, 3, 0, Go, red, 2, 3, 0, Go, white, 1, 4, 0, Go, white, 2, 4, 0, Go, white, 1, 6, 0, Go, white, 2, 6, 0, Go, , 
7, 4, green, 1, 4, 0, Go, red, 2, 4, 0, Go, white, 1, 5, 0, Go, white, 2, 5, 0, Go, white, 1, 7, 0, Go, white, 2, 7, 0, Go, , 
7, 5, green, 1, 5, 0, Go, red, 2, 5, 0, Go, white, 1, 6, 0, Go, white, 2, 6, 0, Go, white, 1, 8, 0, Go, white, 2, 8, 0, Go, , 
7, 6, green, 1, 6, 0, Go, red, 2, 6, 0, Go, white, 1, 7, 0, Go, white, 2, 7, 0, Go, white, 1, 9, 0, Exited, white, 2, 9, 0, Exited, , 
7, 7, green, 1, 7, 0, Go, red, 2, 7, 0, Go, white, 1, 8, 0, Go, white, 2, 8, 0, Go, ,,,,, ,,,,, , 
7, 8, green, 1, 8, 0, Go, red, 2, 8, 0, Go, white, 1, 9, 0, Exited, white, 2, 9, 0, Exited, ,,,,, ,,,,, , 
7, 9, green, 1, 9, -2, Exited, red, 2, 9, -2, Exited, ,,,,, ,,,,, ,,,,, ,,,,, , 


8, 1, green, 1, 1, 0, Go, red, 2, 1, 0, Go, white, 1, 2, 0, Go, white, 2, 2, 0, Go, white, 1, 4, 0, Go, white, 2, 4, 0, Go, , 
8, 2, green, 1, 2, 0, Go, red, 2, 2, 0, Go, white, 1, 3, 0, Go, white, 2, 3, 0, Go, white, 1, 5, 0, Go, white, 2, 5, 0, Go, , 
8, 3, green, 1, 3, 0, Go, red, 2, 3, 0, Go, white, 1, 4, 0, Go, white, 2, 4, 0, Go, white, 1, 6, 0, Go, white, 2, 6, 0, Go, , 
8, 4, green, 1, 4, 0, Go, red, 2, 4, 0, Go, white, 1, 5, 0, Go, white, 2, 5, 0, Go, white, 1, 7, 0, Go, white, 2, 7, 0, Go, , 
8, 5, green, 1, 5, 0, Lane, red, 2, 5, 0, Go, white, 1, 6, 0, Go, white, 2, 6, 0, Go, white, 1, 8, 0, Go, white, 2, 8, 0, Go, , 
8, 6, green, 2, 5, -3, Go, red, 2, 6, 0, Lane, white, 1, 7, 0, Go, white, 2, 7, 0, Go, white, 1, 9, 0, Exited, white, 2, 9, 0, Exited, , 
8, 7, green, 2, 6, -3, Go, red, 1, 7, -3, Go, white, 1, 8, 0, Go, white, 2, 8, 0, Go, ,,,,, ,,,,, , 
8, 8, green, 2, 7, -3, Go, red, 1, 8, -3, Go, white, 1, 9, 0, Exited, white, 2, 9, 0, Exited, ,,,,, ,,,,, , 
8, 9, green, 2, 8, -5, Go, red, 1, 9, -5, Exited, ,,,,, ,,,,, ,,,,, ,,,,, , 
8, 10, green, 2, 9, -7, Exited, ,,,,, ,,,,, ,,,,, ,,,,, ,,,,, , 


9, 1, green, 1, 1, 0, Go, red, 2, 1, 0, Go, white, 1, 2, 0, Go, white, 2, 2, 0, Go, white, 1, 4, 0, Go, white, 2, 4, 0, Go, , 
9, 2, green, 1, 2, 0, Go, red, 2, 2, 0, Lane, white, 1, 3, 0, Go, white, 2, 3, 0, Go, white, 1, 5, 0, Go, white, 2, 5, 0, Go, , 
9, 3, green, 1, 3, 0, Lane, red, 1, 2, -3, Go, white, 1, 4, 0, Go, white, 2, 4, 0, Go, white, 1, 6, 0, Go, white, 2, 6, 0, Go, , 
9, 4, green, 2, 3, -3, Go, red, 1, 3, -3, Go, white, 1, 5, 0, Go, white, 2, 5, 0, Go, white, 1, 7, 0, Go, white, 2, 7, 0, Go, , 
9, 5, green, 2, 4, -3, Go, red, 1, 4, -3, Go, white, 1, 6, 0, Go, white, 2, 6, 0, Go, white, 1, 8, 0, Go, white, 2, 8, 0, Go, , 
9, 6, green, 2, 5, -3, Go, red, 1, 5, -3, Go, white, 1, 7, 0, Go, white, 2, 7, 0, Go, white, 1, 9, 0, Exited, white, 2, 9, 0, Exited, , 
9, 7, green, 2, 6, -3, Go, red, 1, 6, -3, Go, white, 1, 8, 0, Go, white, 2, 8, 0, Go, ,,,,, ,,,,, , 
9, 8, green, 2, 7, -3, Go, red, 1, 7, -3, Go, white, 1, 9, 0, Exited, white, 2, 9, 0, Exited, ,,,,, ,,,,, , 
9, 9, green, 2, 8, -5, Go, red, 1, 8, -5, Go, ,,,,, ,,,,, ,,,,, ,,,,, , 
9, 10, green, 2, 9, -7, Exited, red, 1, 9, -7, Exited, ,,,,, ,,,,, ,,,,, ,,,,, , 


10, 1, green, 1, 1, 0, Go, red, 2, 1, 0, Go, white, 1, 2, 0, Go, white, 2, 2, 0, Go, white, 1, 4, 0, Go, white, 2, 4, 0, Go, , 
10, 2, green, 1, 2, 0, Go, red, 2, 2, 0, Go, white, 1, 3, 0, Go, white, 2, 3, 0, Go, white, 1, 5, 0, Go, white, 2, 5, 0, Go, , 
10, 3, green, 1, 3, 0, Go, red, 2, 3, 0, Go, white, 1, 4, 0, Go, white, 2, 4, 0, Go, white, 1, 6, 0, Go, white, 2, 6, 0, Go, , 
10, 4, green, 1, 4, 0, Go, red, 2, 4, 0, Go, white, 1, 5, 0, Go, white, 2, 5, 0, Go, white, 1, 7, 0, Go, white, 2, 7, 0, Go, , 
10, 5, green, 1, 5, 0, Go, red, 2, 5, 0, Go, white, 1, 6, 0, Go, white, 2, 6, 0, Go, white, 1, 8, 0, Go, white, 2, 8, 0, Go, , 
10, 6, green, 1, 6, 0, Go, red, 2, 6, 0, Go, white, 1, 7, 0, Go, white, 2, 7, 0, Go, white, 1, 9, 0, Exited, white, 2, 9, 0, Exited, , 
10, 7, green, 1, 7, 0, Go, red, 2, 7, 0, Go, white, 1, 8, 0, Go, white, 2, 8, 0, Go, ,,,,, ,,,,, , 
10, 8, green, 1, 8, 0, Go, red, 2, 8, 0, Go, white, 1, 9, 0, Exited, white, 2, 9, 0, Exited, ,,,,, ,,,,, , 
10, 9, green, 1, 9, -2, Exited, red, 2, 9, -2, Exited, ,,,,, ,,,,, ,,,,, ,,,,, , 


